,shareholder_id,company_id
115,136055,5001605
116,136055,4473239
117,136764,7389773
118,136764,2484976
119,136764,5008881
120,136764,585638
121,136764,2074366
122,136764,10036559
123,136764,879905
124,136764,6516498
125,137565,6776739
126,137565,879905
127,137565,3826819
128,137565,4571451
129,137565,3495057
130,137565,6803528
131,137565,1641341
132,137565,7336799
133,144096,9982919
134,144096,6405779
135,147908,4071476
136,151654,8852064
137,157922,1956733
138,159008,3908969
139,159026,8382637
140,160352,7496332
141,160352,9220463
142,160741,6985523
143,161946,7905399
144,167664,2484976
145,170271,10312278
146,171250,393790
147,171889,5645029
148,171889,9133857
149,171889,8553190
150,175954,9701498
151,176100,1670002
152,181699,2342455
153,183591,9793987
154,186671,6670343
155,186671,3840036
156,187015,4765541
157,191853,1282235
158,193935,9203049
159,193935,714896
160,195315,1074998
161,199634,8703876
162,201281,7310407
163,201281,9763072
164,201288,7310407
165,203516,5892692
166,204486,5328643
167,205538,8297154
168,206651,10560613
169,206931,402677
170,210484,10722778
171,210509,7840871
172,210845,4911333
173,210845,5107919
174,212127,3940125
175,212547,5005415
176,212547,9725492
177,214435,10539493
178,215978,9894948
179,217659,9991244
180,217659,5990323
181,217659,57160
182,217659,5340003
183,217659,8518946
184,217659,11888545
185,218847,9892789
186,220432,9393929
187,222699,9059217
188,222944,634256
189,226076,8114334
190,226941,614688
191,230110,4254405
192,230110,357624
193,230110,8071756
194,230110,1404148
195,230750,4300240
196,230750,9393929
197,230750,4461785
198,231905,910887
199,234736,9793987
200,236366,6715247
201,237215,11783269
202,237387,5602005
203,237523,10036559
204,237523,9774579
205,240190,9393929
206,242838,10221107
207,242939,1305262
208,242953,5317277
209,246786,8674417
210,249230,2208550
211,255825,8731754
212,256749,2484976
213,258780,8465183
214,258780,136055
215,258780,1242848
216,258780,5413625
217,258780,10028131
218,258780,10007560
219,258780,1380901
220,259845,1827525
221,260153,5381525
222,260265,5228367
223,260699,10023443
224,265991,1670002
225,268737,10085661
226,271305,4739920
227,271305,11655177
228,273703,8162852
229,273703,6412530
230,273703,10780189
231,273703,1065789
232,273703,6482032
233,281524,8731754
234,281642,7989354
235,282270,4634464
236,283381,7253242
237,284560,5892692
238,286171,1762574
239,288649,11477709
240,289841,11359568
241,292353,543465
242,294589,5001605
243,294589,2202981
244,295306,8804375
245,297021,10209231
246,298619,4145406
247,300000,9441401
248,300818,6398555
249,303407,4415479
250,303506,2208550
251,304837,2484976
252,305503,614688
253,306995,5478159
254,306995,1242474
255,306995,7444246
256,306995,6676169
257,306995,11165992
258,306995,1202705
259,306995,351619
260,310745,983404
261,311209,9678932
262,314400,8674417
263,315109,9793987
264,316422,11177014
265,316422,814375
266,317234,5107919
267,317234,653107
268,320145,9393929
269,321401,4071476
270,321401,4415477
271,321401,2608082
272,323788,836881
273,333831,9762941
274,337711,836881
275,338958,7771476
276,338958,4290701
277,342551,10960347
278,345108,4623902
279,349479,9412732
280,350417,9320268
281,351619,11823798
282,352140,5822116
283,352140,7876232
284,352875,1609198
285,353941,2060205
286,356003,4379012
287,357624,2932634
288,363329,5602465
289,364394,11880009
290,368638,1854070
291,372033,11477709
292,374652,43975
293,374652,10732701
294,374652,6564682
295,374652,4303316
296,374652,7891820
297,376698,3247072
298,376698,2923758
299,376772,7141762
300,376772,1702397
301,378228,1670002
302,379140,1710121
303,379300,9710914
304,380935,159008
305,380935,3614982
306,383183,4651374
307,385557,910887
308,387705,166051
309,391045,10932136
310,392502,5602465
311,393790,3601711
312,396621,8646156
313,396621,4750850
314,396621,3940125
315,396855,9793987
316,400722,891243
317,401549,7585908
318,403783,1161403
319,403901,4866776
320,403901,4198145
321,404551,205047
322,410414,7846033
323,414445,2030405
324,417297,2660535
325,417297,6516498
326,417297,10761831
327,419046,10209231
328,428017,9836268
329,433994,2447832
330,434217,6048474
331,435909,2289917
332,436735,11095813
333,437797,8996098
334,438087,7389773
335,438087,1670002
336,438087,2484976
337,438087,4430714
