,company_id,assets
661,1215042,6209562011.0
662,1216627,
663,1217198,
664,1217446,
665,1219042,5740344.0
666,1219185,
667,1221966,280993766.0
668,1222839,
669,1225841,7910864000.0
670,1228920,
671,1230000,
672,1230179,1182658000000.0
673,1230755,
674,1232364,
675,1233446,33069849.0
676,1233473,
677,1234135,61495266.0
678,1238389,
679,1242106,
680,1242474,17822000000.0
681,1242848,545958351.0
682,1242978,
683,1244782,7769354.0
684,1247028,
685,1253920,
686,1254765,
687,1255728,
688,1255815,
689,1257454,14258486.0
690,1258544,82882483000.0
691,1262593,453350421.0
692,1265993,114748209.0
693,1270788,1957903.0
694,1271019,
695,1272333,
696,1276385,860266000.0
697,1279103,
698,1282235,2303122953.0
699,1282316,3635847000.0
700,1284091,
701,1285536,106931091.0
702,1286594,
703,1287079,
704,1287264,279169596.0
705,1287997,102640602000.0
706,1288938,
707,1290497,
708,1290935,679995772.0
709,1292224,58174311.0
710,1293293,243903591.0
711,1293847,
712,1295162,
713,1296551,10256194772.0
714,1297115,
715,1300069,9998512.0
716,1300111,
717,1305262,5424224000.0
718,1305633,
719,1307630,1863916000.0
720,1307806,1442734318.0
721,1310352,34537028000.0
722,1310547,2.0
723,1314999,656110000.0
724,1317076,
725,1325155,
726,1327539,1803688993.0
727,1333823,3074066230.0
728,1334273,
729,1336300,
730,1340477,
731,1340917,
732,1343121,34833390.0
733,1343870,16541512.0
734,1344306,
735,1350272,966942071.0
736,1351318,
737,1352622,
738,1353368,
739,1355020,
740,1355533,
741,1356356,
742,1358024,
743,1359391,
744,1361696,
745,1362537,77842224.0
746,1363260,
747,1371882,62051658.0
748,1372871,
749,1376025,15910627.0
750,1377449,750072000.0
751,1378194,54538941.0
752,1380901,
753,1382216,1.0
754,1391391,94268000.0
755,1392014,
756,1393087,
757,1395887,84429813.0
758,1397829,
759,1398656,3574274563.0
760,1399425,36505179.0
761,1399957,
762,1401162,
763,1402507,
764,1403103,5833969000.0
765,1403977,143499378.0
766,1404148,177642752000.0
767,1408154,80319212.0
768,1408482,235340965.0
769,1411807,
770,1414830,209506789.0
771,1415109,9453038000.0
772,1417542,
773,1419895,219900000.0
774,1421155,
775,1421458,
776,1423269,
777,1424866,
778,1426870,381993303.0
779,1427129,
780,1427245,17294805000.0
781,1427421,
782,1431119,46097472.0
783,1434045,
784,1438485,
785,1439303,108701337.0
786,1440359,
787,1442894,40590860600.0
788,1442903,
789,1445464,
790,1445969,
791,1448530,33407000.0
792,1450280,99838801.0
793,1451963,
794,1452126,
795,1452302,
796,1461508,2223152050.0
797,1468350,823025918.0
798,1470088,
799,1474571,
800,1474588,
801,1474915,
802,1477170,
803,1478137,
804,1482654,
805,1484762,
806,1488978,
807,1489972,1767281865.0
808,1492573,392818581.0
809,1493156,
810,1494293,1514533.0
811,1494685,
812,1497736,4769331602.0
813,1498421,
814,1503359,
815,1505004,21624274289.0
816,1507419,911236000.0
817,1509524,24678.0
818,1510630,4960287.0
819,1512899,6327605.0
820,1513796,
821,1516115,69324084080.0
822,1516902,
823,1521039,
824,1523562,1663449046.0
825,1524012,
826,1524017,
827,1525088,136335586.0
828,1525424,1867263000.0
829,1527985,1823000000.0
830,1534004,347279491.0
831,1536529,
832,1537795,455959862.0
833,1541020,82172819.0
834,1543487,
835,1543551,41504792646.0
836,1550560,2031.0
837,1556277,3978468000.0
838,1560434,10260000.0
839,1566378,
840,1568792,
841,1570596,
842,1570827,
843,1573697,26881597.0
844,1579455,607628565.0
845,1580632,343241698.0
846,1582764,96125133.0
847,1583288,
848,1588298,2913149.0
849,1595243,
850,1598358,
851,1599131,46873482.0
852,1599719,11690120262.0
853,1601846,11009000.0
854,1602625,
855,1603898,
856,1604871,
857,1605294,189922732.0
858,1606631,58188375.0
859,1609198,23536779.0
860,1610736,
861,1611324,54089188.0
862,1612020,133652412777.0
863,1612878,
864,1614704,2638421.0
865,1615898,759566115.0
866,1620466,3912962.0
867,1620692,2889399.0
868,1621868,
869,1622947,
870,1623832,
871,1624449,
872,1631812,
873,1631869,116385000.0
874,1635246,762792439.0
875,1640762,
876,1641341,76697625.0
877,1643499,
878,1643944,898905.0
879,1644065,1079861775.0
880,1645141,668775600.0
881,1647244,118320159.0
882,1647699,
883,1649922,41818722.0
884,1650433,
885,1657697,
886,1659919,113.0
887,1660157,3097455.0
888,1661636,
889,1661768,
890,1663548,
891,1663752,
892,1665392,25312663.0
893,1666408,143158707.0
894,1667898,
895,1668493,3738896000.0
896,1670002,17147358000.0
897,1670035,8965095000.0
898,1673165,
899,1675277,
900,1677848,
901,1680221,91748551.0
902,1680376,
903,1680805,
904,1683223,471228000.0
905,1687186,353389932.0
906,1691775,16972374000.0
907,1693915,26836218.0
908,1694328,
909,1695159,218268382.0
910,1696332,
911,1697543,10024630000.0
912,1697761,442210060.0
913,1699971,249609000.0
914,1700571,438063363.0
915,1701559,
916,1702397,871211893.0
917,1703625,575887903.0
918,1705017,18936829.0
919,1706879,
920,1707426,170388331.0
921,1709828,20403322000.0
922,1710121,134417027.0
923,1710168,
924,1712777,
925,1716717,1042697020.0
926,1718976,
927,1720393,11562439.0
928,1720655,111275394.0
929,1721883,281374283.0
930,1722346,
931,1723369,
932,1723965,12458000.0
933,1724490,42450430.0
934,1726667,502492000.0
935,1726686,
936,1728504,
937,1729154,
938,1732140,
939,1733413,131042079.0
940,1733663,
941,1733751,1297500000.0
942,1738135,
943,1742549,13623418937.0
944,1745405,
945,1747984,
946,1748124,2305027.0
947,1748320,298382000.0
948,1750076,
949,1751344,119189147.0
950,1756037,
951,1757830,
952,1757903,
953,1758170,1501349226.0
954,1759229,328819882.0
955,1761864,2.0
956,1762574,224690965.0
957,1765174,
958,1765983,
959,1766791,5922559.0
960,1767859,
961,1768276,72949000.0
962,1771061,
963,1771490,
964,1771746,9805380.0
965,1772101,559027137.0
966,1777773,77914441.0
967,1779022,
968,1780856,116150864.0
969,1781306,198489000.0
970,1784118,
971,1785533,
972,1787767,
973,1793547,
974,1793739,
975,1795631,
976,1795922,
977,1800392,
978,1801156,
979,1801672,2309170000.0
980,1805995,
981,1809558,159871648563.0
982,1819686,
983,1820201,
984,1821185,
985,1823441,1889098.0
986,1825784,
987,1827525,320289062.0
988,1827561,
989,1828094,8013180.0
990,1829243,2845320298.0
991,1830069,
992,1831724,
993,1835919,
994,1836816,
995,1839278,5585373.0
996,1845484,
997,1846015,271780423.0
998,1846873,
999,1854070,48254994000.0
1000,1859576,
