,shareholder_id,company_id,ownership
80,110885,9869157,0.7602
81,110885,2062222,0.81
82,110885,7478594,1.0
83,110885,10219859,1.0
84,110885,5317083,0.22719999999999999
85,110885,10591046,1.0
86,110885,5107919,1.0
87,110885,653107,1.0
88,110885,8071756,1.0
89,110885,9793485,1.0
90,110885,8959609,1.0
91,110885,2484976,0.99
92,110885,4430714,0.12
93,110885,8339513,1.0
94,110885,4023596,1.0
95,110885,1230179,1.0
96,110885,6950995,1.0
97,110885,4165640,0.01
98,110885,7224720,0.4133
99,110885,10177865,0.49
100,111558,1649922,0.98
101,111955,5725546,1.0
102,113467,8731754,0.0012
103,114210,8646191,0.7498999999999999
104,115833,3815090,0.9961
105,116878,2484976,0.0019
106,117467,2236731,0.9961
107,119859,10698557,0.0019
108,119859,10888078,0.0019
109,122084,10753783,0.0019
110,125739,8008425,0.9961
111,130420,4875143,0.0019
112,131543,836881,0.0019
113,133163,11283335,0.0019
114,133351,9393929,0.0019
115,136055,5001605,0.9961
116,136055,4473239,0.9793000000000001
117,136764,7389773,0.9998999999999999
118,136764,2484976,0.0166
119,136764,5008881,0.016200000000000003
120,136764,585638,0.0108
121,136764,2074366,0.015700000000000002
122,136764,10036559,0.005
123,136764,879905,0.0149
124,136764,6516498,0.0079
125,137565,6776739,0.0002
126,137565,879905,0.0021
127,137565,3826819,0.2838
128,137565,4571451,0.001
129,137565,3495057,0.0011
130,137565,6803528,0.0086
131,137565,1641341,0.009899999999999999
132,137565,7336799,0.005600000000000001
133,144096,9982919,0.0095
134,144096,6405779,0.5105
135,147908,4071476,0.001
136,151654,8852064,0.0044
137,157922,1956733,0.0007000000000000001
138,159008,3908969,0.0004
139,159026,8382637,0.001
140,160352,7496332,0.0001
141,160352,9220463,0.0124
142,160741,6985523,0.001
143,161946,7905399,0.0001
144,167664,2484976,0.008100000000000001
145,170271,10312278,0.0002
146,171250,393790,0.0049
147,171889,5645029,0.0005
148,171889,9133857,0.017
149,171889,8553190,0.011000000000000001
150,175954,9701498,0.006
151,176100,1670002,1.0
152,181699,2342455,1.0
153,183591,9793987,0.4
154,186671,6670343,0.3333
155,186671,3840036,0.3333
156,187015,4765541,0.995
157,191853,1282235,0.01
158,193935,9203049,0.5
159,193935,714896,0.024700000000000003
160,195315,1074998,0.25
161,199634,8703876,0.1133
162,201281,7310407,0.25
163,201281,9763072,0.1066
164,201288,7310407,1.0
165,203516,5892692,0.0005
166,204486,5328643,0.141
167,205538,8297154,0.05
168,206651,10560613,0.51
169,206931,402677,0.05
170,210484,10722778,1.0
171,210509,7840871,1.0
172,210845,4911333,0.0019
173,210845,5107919,0.49700000000000005
174,212127,3940125,0.49700000000000005
175,212547,5005415,0.0019
176,212547,9725492,1.0
177,214435,10539493,0.0006
178,215978,9894948,0.0038
179,217659,9991244,0.0171
180,217659,5990323,0.0045000000000000005
181,217659,57160,0.0055000000000000005
182,217659,5340003,0.0518
183,217659,8518946,0.0014000000000000002
184,217659,11888545,0.0344
185,218847,9892789,0.0096
186,220432,9393929,0.0095
187,222699,9059217,0.001
188,222944,634256,0.0037
189,226076,8114334,0.0083
190,226941,614688,0.0721
191,230110,4254405,0.0063
192,230110,357624,0.0063
193,230110,8071756,0.0076
194,230110,1404148,0.0037
195,230750,4300240,0.0134
196,230750,9393929,0.0027
197,230750,4461785,0.0078000000000000005
198,231905,910887,0.0021
199,234736,9793987,0.0004
200,236366,6715247,0.0062
201,237215,11783269,0.0058
202,237387,5602005,0.010700000000000001
203,237523,10036559,0.09939999999999999
204,237523,9774579,0.0139
205,240190,9393929,0.002
206,242838,10221107,0.0025
207,242939,1305262,0.022099999999999998
208,242953,5317277,0.006999999999999999
209,246786,8674417,0.0054
210,249230,2208550,0.0027
211,255825,8731754,0.5102
212,256749,2484976,0.0073
213,258780,8465183,0.0269
214,258780,136055,0.0388
215,258780,1242848,0.0003
216,258780,5413625,0.772
217,258780,10028131,0.0259
218,258780,10007560,0.0003
219,258780,1380901,0.0075
220,259845,1827525,0.0031
