,company_id,assets,nace_2digit,nace_4digit,is_biotech
357,6113756,17331882000.0,64.0,6419.0,False
358,6128935,2405599000.0,64.0,6419.0,False
359,6133470,24964951000.0,64.0,6419.0,False
360,6139352,332582234.0,65.0,6511.0,False
361,6156300,389848000.0,21.0,7211.0,True
362,6166659,,,,False
363,6167181,1732015000.0,64.0,6492.0,False
364,6180104,245370127.0,66.0,6630.0,False
365,6182535,3355759000.0,64.0,6420.0,False
366,6189242,,,,False
367,6263012,,,,False
368,6275023,38888904.0,64.0,6420.0,False
369,6306872,,,,False
370,6329177,,,,False
371,6333957,,,,False
372,6334841,,,,False
373,6373971,103218466.0,66.0,6630.0,False
374,6390697,3153823.0,72.0,7211.0,True
375,6393747,,,,False
376,6397740,199032326.0,26.0,2630.0,False
377,6399532,12153364000.0,64.0,6419.0,False
378,6476442,1107585523.0,21.0,2120.0,False
379,6480129,,,,False
380,6488996,,,,False
381,6489451,121122461.0,27.0,2732.0,False
382,6497084,,94.0,9420.0,False
383,6520383,,,,False
384,6536690,,,,False
385,6581147,,,,False
386,6584941,2266300000.0,64.0,6419.0,False
387,6596777,,,,False
388,6625366,22996284000.0,64.0,6499.0,False
389,6626867,1119992976.0,82.0,8299.0,False
390,6644334,11009029.0,24.0,2410.0,False
391,6653823,,66.0,6619.0,False
392,6718420,786948283.0,82.0,8299.0,False
393,6723777,,,,False
394,6757171,,,,False
395,6760459,,,,False
396,6765915,767462326.0,64.0,6499.0,False
397,6769852,,,,False
398,6796023,3672754000.0,64.0,6490.0,False
399,6833738,60425621000.0,64.0,6419.0,False
400,6887954,,,,False
401,6916603,442210060.0,65.0,6511.0,False
402,6989083,1930575000.0,64.0,6419.0,False
403,6996678,,,,False
404,6998235,,,,False
405,7006062,,,,False
406,7042068,266039000.0,64.0,6419.0,False
407,7063828,31737563000.0,64.0,6419.0,False
408,7080313,169235802.0,64.0,6430.0,False
409,7105865,,,,False
410,7139133,1603512000.0,64.0,6419.0,False
411,7141071,17150439000.0,65.0,6500.0,False
412,7148664,16028419000.0,64.0,6419.0,False
413,7161876,,,,False
414,7163998,,,,False
415,7186516,,,,False
416,7194970,12585041000.0,64.0,6419.0,False
417,7233347,292830000.0,64.0,6419.0,False
418,7298624,,,,False
419,7324013,25029000000.0,30.0,7010.0,False
420,7361219,,,,False
421,7378870,8176882.0,72.0,7211.0,True
422,7382878,,,,False
423,7383038,671399223.0,70.0,7022.0,False
424,7418799,34222561.0,72.0,7211.0,True
425,7456348,11803447000.0,64.0,6419.0,False
426,7468500,,,,False
427,7492101,,,,False
428,7534907,,,,False
429,7550055,2746014700.0,70.0,7010.0,False
430,7584656,121634552.0,43.0,4322.0,False
431,7589935,34093454.0,72.0,7211.0,True
432,7616672,684368000.0,64.0,6419.0,False
433,7637154,,,,False
434,7637269,,,,False
435,7642175,,,,False
436,7651444,16847065000.0,64.0,6419.0,False
437,7666164,42574919000.0,65.0,6511.0,False
438,7687057,19278388305.0,64.0,6420.0,False
439,7744297,,65.0,6511.0,False
440,7777816,,,,False
441,7782853,3939681.0,70.0,7022.0,False
442,7796256,2446002.0,72.0,7211.0,True
443,7807729,,,,False
444,7822719,,,,False
445,7840268,410598000000.0,64.0,6419.0,False
446,7841308,,,,False
447,7854453,,68.0,8411.0,False
448,7863900,17550673000.0,64.0,6419.0,False
449,7947436,2031.0,,,False
450,7995669,,,,False
451,8001582,,,,False
452,8006139,4463093.0,86.0,7211.0,True
453,8018082,69231316.0,69.0,6920.0,False
454,8042074,197074334.0,72.0,7211.0,True
455,8051655,,,,False
456,8055302,,,,False
457,8104225,,,,False
458,8109407,133727235671.0,64.0,6419.0,False
459,8120593,897949784.0,65.0,6511.0,False
460,8127065,15111398000.0,64.0,6419.0,False
461,8139747,43042910.0,64.0,6420.0,False
462,8152645,4876016.0,73.0,7320.0,False
463,8168542,,,,False
464,8168975,,,,False
465,8198539,,,,False
466,8199599,24933000.0,66.0,6629.0,False
467,8215885,11499840000.0,64.0,6419.0,False
468,8217414,,,,False
469,8280780,,,,False
470,8302460,5474932.0,72.0,7211.0,True
471,8315735,,,,False
472,8317045,53128981000.0,65.0,6500.0,False
473,8328673,,,,False
474,8334037,,,,False
475,8361925,337645000.0,30.0,3030.0,False
476,8362198,,,,False
477,8364880,321938000.0,64.0,6419.0,False
478,8370178,7757250.0,71.0,7112.0,False
479,8370411,,,,False
480,8375845,,,,False
481,8473446,13092060000.0,64.0,6419.0,False
482,8477527,140782772.0,64.0,6420.0,False
483,8488638,,,,False
484,8498027,544860637.0,65.0,6511.0,False
485,8510642,308512173.0,35.0,3514.0,False
486,8515359,2054346161.0,64.0,6420.0,False
487,8524135,29862195.0,64.0,6630.0,False
488,8533554,213879619.0,70.0,7022.0,False
489,8542713,,,,False
490,8555814,77600742.0,70.0,7022.0,False
491,8560059,10536579000.0,64.0,6419.0,False
492,8603616,,,,False
493,8640430,,,,False
494,8652784,,,,False
495,8697100,1244865000.0,64.0,6419.0,False
496,8729155,,,,False
497,8786487,102274374.0,70.0,7022.0,False
498,8826550,,,,False
499,8834494,,,,False
500,8843120,4003962.0,71.0,7120.0,False
501,8844432,,,,False
502,8859602,,,,False
503,8918338,,,,False
504,8982192,,,,False
505,8998422,,,,False
506,9005208,,,,False
507,9024927,,,,False
508,9049857,,,,False
509,9055170,,,,False
510,9060405,1313271000000.0,64.0,6419.0,False
511,9092150,,,,False
512,9102677,49440000.0,64.0,6499.0,False
513,9122772,436407656.0,65.0,6511.0,False
514,9127926,,,,False
515,9153875,631157000.0,64.0,6419.0,False
516,9164485,,,,False
517,9186111,,,,False
518,9214066,284615986.0,66.0,6630.0,False
519,9228522,,,,False
520,9230371,,,,False
521,9263168,8563100000.0,64.0,6419.0,False
522,9264042,,,,False
523,9265180,4161889225.0,64.0,6430.0,False
524,9272210,,,,False
525,9278672,,,,False
526,9295748,,,,False
527,9305815,,,,False
528,9349135,1698950000.0,64.0,6419.0,False
529,9385560,256909000.0,64.0,6419.0,False
530,9421670,,,,False
531,9437765,10939000000.0,65.0,6500.0,False
532,9444499,9259254000.0,64.0,6419.0,False
533,9498626,,,,False
534,9501298,333792863.0,70.0,7022.0,False
535,9523637,,,,False
536,9534862,,,,False
537,9536418,,,,False
538,9540285,,,,False
539,9580194,,,,False
540,9613608,57345805000.0,64.0,6419.0,False
541,9624772,308398557000.0,64.0,6419.0,False
542,9625409,7446344000.0,65.0,6511.0,False
543,9629942,8233998.0,56.0,5610.0,False
544,9635226,6918051.0,72.0,7211.0,True
545,9653638,35339100000.0,20.0,2042.0,False
546,9682618,21096784000.0,64.0,6420.0,False
547,9688567,6270888.0,72.0,7211.0,True
548,9690831,,,,False
549,9707642,,,,False
550,9716962,18446714000.0,64.0,6419.0,False
551,9726823,389333000.0,64.0,6419.0,False
552,9734764,511474849.0,66.0,6630.0,False
553,9751811,1063690710.0,82.0,8299.0,False
554,9752696,257555733.0,73.0,7320.0,False
555,9772450,,,,False
556,9791631,,,,False
557,9810991,,,,False
558,9825183,,,,False
559,9841107,,,,False
560,9898036,,,,False
561,9899335,,70.0,7010.0,False
562,9902821,372573391.0,65.0,6511.0,False
563,9919380,73348427.0,64.0,6499.0,False
564,9924118,106010746.0,66.0,6630.0,False
565,9991869,,,,False
566,10006646,34198062.0,70.0,6420.0,False
567,10033959,381903461.0,64.0,6420.0,False
568,10040421,4623768.0,64.0,6420.0,False
569,10052830,12388980000.0,64.0,6419.0,False
570,10057523,,,,False
571,10125933,,,,False
572,10230679,21433257000.0,64.0,6419.0,False
573,10240165,,,,False
574,10279829,4187865.0,27.0,2732.0,False
575,10285518,,,,False
576,10368557,,,,False
577,10381319,,,,False
578,10395070,,,,False
579,10430400,321929188.0,66.0,6619.0,False
580,10471465,,,,False
581,10476013,5147000000.0,24.0,7010.0,False
582,10478927,12393110.0,70.0,7010.0,False
583,10485617,,,,False
584,10499499,,,,False
585,10518929,,,,False
586,10547571,731923000.0,66.0,6630.0,False
587,10564391,1886731944.0,35.0,3511.0,False
588,10590858,,,,False
589,10620203,33915689661.0,65.0,6511.0,False
590,10621252,,,,False
591,10637312,,,,False
592,10640847,,,,False
593,10647087,,,,False
594,10662465,,94.0,9411.0,False
595,10664933,,,,False
596,10672341,,,,False
597,10678755,13836455.0,46.0,4673.0,False
598,10683043,,64.0,7010.0,False
599,10695914,18349673000.0,64.0,6419.0,False
600,10701054,,,,False
601,10707394,,,,False
602,10728193,,,,False
603,10748441,28911754.0,66.0,6630.0,False
604,10759461,55259571971.0,65.0,6500.0,False
605,10776089,,,,False
606,10848170,,,,False
607,10848719,1121726839.0,64.0,6499.0,False
608,10896449,,,,False
609,10905436,,,,False
610,10927239,,,,False
611,10970533,14033709.0,45.0,4511.0,False
612,10972316,,,,False
613,10981372,333633000000.0,64.0,6419.0,False
614,10981483,1773810548.0,64.0,6420.0,False
615,10984462,304138677.0,64.0,6499.0,False
616,11010056,,,,False
617,11012545,,,,False
618,11021359,,,,False
619,11044799,36937677662.0,65.0,6511.0,False
620,11047885,286325435.0,46.0,4646.0,False
621,11077440,,,,False
622,11088869,25294307.0,43.0,4312.0,False
623,11126963,2246238000.0,64.0,6420.0,False
624,11151728,,,,False
625,11197139,,,,False
626,11209900,,,,False
627,11226551,,,,False
628,11229129,27584240000.0,64.0,6419.0,False
629,11241937,2486962789.0,70.0,7010.0,False
630,11252370,,,,False
631,11262341,,,,False
632,11274972,192931842000.0,64.0,6419.0,False
633,11333699,10985175000.0,64.0,6419.0,False
634,11370223,,,,False
635,11392941,,,,False
636,11438981,47435322.0,70.0,7010.0,False
637,11447709,7808252.0,68.0,6820.0,False
638,11451644,996000000.0,64.0,6419.0,False
639,11452297,,66.0,6612.0,False
640,11453290,60640927.0,20.0,2011.0,False
641,11457736,19113952000.0,64.0,6419.0,False
642,11490978,98456000000.0,64.0,6419.0,False
643,11503372,,,,False
644,11504691,20257894000.0,64.0,6419.0,False
645,11509002,36620227.0,64.0,6420.0,False
646,11513595,,,,False
