,company_id,assets,nace_2digit,nace_4digit,countryisocode,is_biotech
224,3582428,,,,LU,False
225,3592683,,,,SE,False
226,3602890,,,,BE,False
227,3605982,20503395000.0,65.0,6511.0,FI,False
228,3613050,,,,BE,False
229,3620725,324402385.0,70.0,7010.0,FR,False
230,3633158,25711893.0,72.0,7211.0,BE,True
231,3633706,12492341.0,64.0,6490.0,BE,False
232,3679023,183001823.0,68.0,6831.0,BE,False
233,3721884,669105304.0,65.0,6511.0,SE,False
234,3728060,,,,ES,False
235,3744125,,,,US,False
236,3753784,,,,US,False
237,3756692,33286089.0,72.0,7211.0,BE,True
238,3852197,1418313000.0,61.0,6202.0,FR,False
239,3898028,714989043.0,66.0,6619.0,GB,False
240,3914538,23306758000.0,64.0,6419.0,FR,False
241,3932825,,,,LU,False
242,3977602,,,,BE,False
243,3980885,,,,BE,False
244,4008987,1191859.0,72.0,7211.0,BE,True
245,4014287,305262671000.0,65.0,6500.0,FR,False
246,4040729,,,,FI,False
247,4044329,,,,US,False
248,4067481,965544538.0,64.0,6420.0,ES,False
249,4103271,6037814.0,66.0,6619.0,GB,False
250,4109179,16289328000.0,64.0,6419.0,FR,False
251,4119526,5834081000.0,64.0,6419.0,FR,False
252,4123136,,,,US,False
253,4156443,,,,AT,False
254,4172556,,,,FR,False
255,4180340,5452.0,64.0,6420.0,FR,False
256,4200502,,,,SE,False
257,4208160,,,,SE,False
258,4211424,1239807717.0,64.0,6420.0,BE,False
259,4276136,4944258102.0,69.0,6420.0,FR,False
260,4284084,378507895.0,64.0,6420.0,FR,False
261,4299211,13469596000.0,64.0,6419.0,FR,False
262,4300553,23459578000.0,64.0,6419.0,FR,False
263,4301578,,,,NO,False
264,4303393,,,,BE,False
265,4322194,8197015.0,70.0,7211.0,BE,True
266,4351951,427663568.0,64.0,6419.0,GB,False
267,4371143,20403322000.0,64.0,6419.0,FR,False
268,4415955,11007886910.0,64.0,6499.0,SE,False
269,4420975,610565105.0,81.0,8110.0,BE,False
270,4452043,14618040.0,70.0,7010.0,BE,False
271,4455578,,64.0,6430.0,FI,False
272,4494758,,,,BE,False
273,4518524,37352100000.0,65.0,6511.0,FI,False
274,4523642,,,,GB,False
275,4530454,61953000.0,66.0,6630.0,FR,False
276,4569073,,,,NL,False
277,4639489,1069493722.0,66.0,6630.0,FR,False
278,4641743,3691671000.0,65.0,6500.0,BE,False
279,4675942,,,,BE,False
280,4681393,,,,JP,False
281,4681601,143466000.0,64.0,6419.0,AT,False
282,4695866,,,,CH,False
283,4714302,,,,SE,False
284,4733222,1084722296.0,64.0,6420.0,FR,False
285,4783720,47720773.0,,,GB,False
286,4815173,,,,SE,False
287,4838174,,,,NO,False
288,4853842,,,,NO,False
289,4859371,22416539.0,47.0,4774.0,BE,False
290,4870113,,,,US,False
291,4916463,9501272000.0,64.0,6419.0,FR,False
292,4975254,6152911000.0,64.0,6419.0,FR,False
293,4977229,8965095000.0,65.0,6511.0,FR,False
294,4982379,,,,LU,False
295,5035077,,84.0,8411.0,SE,False
296,5039890,9453038000.0,64.0,6419.0,FR,False
297,5077586,,,,BE,False
298,5093794,9094624000.0,64.0,6419.0,FR,False
299,5100202,,,,BE,False
300,5105209,542471061.0,64.0,3030.0,BE,False
301,5117677,19068601000.0,64.0,6419.0,FR,False
302,5124518,412149975.0,65.0,6511.0,SE,False
303,5194667,335514000.0,64.0,6420.0,FR,False
304,5202399,363678803.0,66.0,7022.0,SE,False
305,5209871,192217758575.0,64.0,6419.0,SE,False
306,5236225,14353587.0,64.0,6430.0,NO,False
307,5246790,8833973000.0,65.0,6511.0,FR,False
308,5271182,2300621000.0,64.0,6419.0,FR,False
309,5291107,61130724000.0,64.0,6420.0,AT,False
310,5315595,186732845.0,64.0,6420.0,FR,False
311,5320003,,,,US,False
312,5328499,29138533000.0,64.0,6419.0,FR,False
313,5334719,643371168.0,64.0,6499.0,GB,False
314,5355723,370908000.0,72.0,2660.0,NL,False
315,5372830,10338532.0,79.0,7990.0,AT,False
