,company_id,assets,nace_4digit,nace_2digit,country,is_biotech,all_bvdid,Description,is_financial
258,8298497.0,4944258102.0,6420.0,69.0,161.0,False,FR453952681,Legal and accounting activities,False
259,8300067.0,199032326.0,2630.0,26.0,26.0,False,BE0437598573,"Manufacture of computer, electronic and optical products",False
260,8306980.0,965544538.0,6420.0,64.0,119.0,False,ESB63523674,"Financial service activities, except insurance and pension funding",True
261,8363149.0,7757250.0,7112.0,71.0,26.0,False,BE0421988404,Architectural and engineering activities; technical testing and analysis,False
262,8391710.0,2066772418.0,6420.0,64.0,60.0,False,SE5565497020,"Financial service activities, except insurance and pension funding",True
263,8402282.0,19068601000.0,6419.0,64.0,161.0,False,FR383354594,"Financial service activities, except insurance and pension funding",True
264,8409320.0,4675507522.0,6511.0,65.0,60.0,False,SE5020061619,"Insurance, reinsurance and pension funding, except compulsory social security",False
265,8440526.0,300894561.0,7211.0,72.0,26.0,True,BE0640747653,Scientific research and development ,False
266,8452578.0,17376937000.0,6419.0,64.0,161.0,False,FR349974931,"Financial service activities, except insurance and pension funding",True
267,8462088.0,9501272000.0,6419.0,64.0,161.0,False,FR457506566,"Financial service activities, except insurance and pension funding",True
268,8527488.0,161147.0,7211.0,72.0,26.0,True,BE0633796911,Scientific research and development ,False
269,8565302.0,5703757.0,7211.0,72.0,26.0,True,BE0633809678,Scientific research and development ,False
270,8614049.0,99813000000.0,7010.0,21.0,161.0,False,FR395030844,Manufacture of basic pharmaceutical products and pharmaceutical preparations,False
271,8687670.0,199431.0,7211.0,72.0,26.0,True,BE0434977296,Scientific research and development ,False
272,8725494.0,3988051.0,8299.0,82.0,26.0,False,BE0461611914,"Office administrative, office support and other business support activities",False
273,8767653.0,,7010.0,70.0,34.0,False,AT9050063244,Activities of head offices; management consultancy activities,False
274,8779602.0,203316207.0,3822.0,38.0,26.0,False,BE0408449677,"Waste collection, treatment and disposal activities; materials recovery",False
275,8780490.0,1483780.0,6430.0,64.0,161.0,False,FR428791271,"Financial service activities, except insurance and pension funding",True
276,8788942.0,73348427.0,6499.0,64.0,60.0,False,SE5562885417,"Financial service activities, except insurance and pension funding",True
277,8804271.0,19278388305.0,6420.0,64.0,161.0,False,FR439208190,"Financial service activities, except insurance and pension funding",True
278,8808447.0,479524.0,7211.0,72.0,26.0,True,BE0661567021,Scientific research and development ,False
279,8833534.0,,6511.0,65.0,60.0,False,SE5164060286,"Insurance, reinsurance and pension funding, except compulsory social security",False
280,8843932.0,8965095000.0,6511.0,65.0,161.0,False,FR353457245,"Insurance, reinsurance and pension funding, except compulsory social security",False
281,8844233.0,5452.0,6420.0,64.0,161.0,False,FR622002293,"Financial service activities, except insurance and pension funding",True
282,8865949.0,23140373000.0,6420.0,64.0,119.0,False,ESA63379135,"Financial service activities, except insurance and pension funding",True
